TransitRouteId;Departure/vehicleRefId;StopDeparture;StopArrival;Passengers
23219354;veh_63_bus;1846.link:31371305_0;18506.link:144880915_3;1
23219354;veh_63_bus;2562.link:218475447_0_r;3606.link:31396539_1;1
23219354;veh_63_bus;2562.link:218475447_0_r;18506.link:144880915_3;1
23219354;veh_63_bus;3287.link:308301794_1;3606.link:31396539_1;1
23219354;veh_63_bus;1648.link:31371305_1;3606.link:31396539_1;2
23219354;veh_63_bus;22799.link:31381007_1;4403.link:78633091_0;2
23219354;veh_63_bus;22799.link:31381007_1;18506.link:144880915_3;1
23219354;veh_63_bus;18098.link:370619129_0;18506.link:144880915_3;1
23219354;veh_63_bus;2092.link:31396539_0;18506.link:144880915_3;2
23219354;veh_62_bus;4302.link:321360963_0;2916.link:572418415_0_r;5
23219354;veh_62_bus;4302.link:321360963_0;4112.link:143558793_1_r;1
23219354;veh_62_bus;4302.link:321360963_0;2562.link:218475447_0_r;18
23219354;veh_62_bus;4302.link:321360963_0;23958.link:190505820_6;7
23219354;veh_62_bus;4302.link:321360963_0;23968.link:528480961_0;6
23219354;veh_62_bus;4302.link:321360963_0;23991.link:178568772_0;1
23219354;veh_62_bus;4302.link:321360963_0;2089.link:301738020_0;1
23219354;veh_62_bus;4302.link:321360963_0;1925.link:143881926_0;1
23219354;veh_62_bus;4302.link:321360963_0;1538.link:143881926_2;1
23219354;veh_62_bus;4302.link:321360963_0;4195.link:365249853_0;1
23219354;veh_62_bus;4302.link:321360963_0;1901.link:144655541_0;5
23219354;veh_62_bus;4302.link:321360963_0;1846.link:31371305_0;4
23219354;veh_62_bus;4302.link:321360963_0;1648.link:31371305_1;1
23219354;veh_62_bus;4302.link:321360963_0;22799.link:31381007_1;1
23219354;veh_62_bus;4302.link:321360963_0;18098.link:370619129_0;1
23219354;veh_62_bus;4302.link:321360963_0;2092.link:31396539_0;3
23219354;veh_62_bus;4302.link:321360963_0;3606.link:31396539_1;1
23219354;veh_62_bus;4302.link:321360963_0;4795.link:183816752_0;1
23219354;veh_62_bus;4302.link:321360963_0;4403.link:78633091_0;1
23219354;veh_62_bus;4302.link:321360963_0;18506.link:144880915_3;8
23219354;veh_62_bus;3271.link:143525636_0;2562.link:218475447_0_r;8
23219354;veh_62_bus;3271.link:143525636_0;23968.link:528480961_0;1
23219354;veh_62_bus;3271.link:143525636_0;1925.link:143881926_0;2
23219354;veh_62_bus;3271.link:143525636_0;1901.link:144655541_0;2
23219354;veh_62_bus;3271.link:143525636_0;1846.link:31371305_0;5
23219354;veh_62_bus;3271.link:143525636_0;22799.link:31381007_1;1
23219354;veh_62_bus;3271.link:143525636_0;4795.link:183816752_0;1
23219354;veh_62_bus;3271.link:143525636_0;18506.link:144880915_3;2
23219354;veh_62_bus;2916.link:572418415_0_r;2100.link:245456247_0_r;4
23219354;veh_62_bus;2916.link:572418415_0_r;18506.link:144880915_3;1
23219354;veh_62_bus;2562.link:218475447_0_r;23968.link:528480961_0;1
23219354;veh_62_bus;2562.link:218475447_0_r;1925.link:143881926_0;2
23219354;veh_62_bus;2562.link:218475447_0_r;1901.link:144655541_0;1
23219354;veh_62_bus;2562.link:218475447_0_r;1846.link:31371305_0;2
23219354;veh_62_bus;2562.link:218475447_0_r;2092.link:31396539_0;2
23219354;veh_62_bus;2562.link:218475447_0_r;18506.link:144880915_3;2
23219354;veh_62_bus;2100.link:245456247_0_r;23968.link:528480961_0;2
23219354;veh_62_bus;2100.link:245456247_0_r;4195.link:365249853_0;1
23219354;veh_62_bus;2100.link:245456247_0_r;1846.link:31371305_0;1
23219354;veh_62_bus;2100.link:245456247_0_r;3606.link:31396539_1;2
23219354;veh_62_bus;2100.link:245456247_0_r;4403.link:78633091_0;1
23219354;veh_62_bus;2100.link:245456247_0_r;18506.link:144880915_3;4
23219354;veh_62_bus;1695.link:143558785_1;23968.link:528480961_0;3
23219354;veh_62_bus;1695.link:143558785_1;3308.link:160338253_1;1
23219354;veh_62_bus;1695.link:143558785_1;4195.link:365249853_0;1
23219354;veh_62_bus;1695.link:143558785_1;4796.link:183816752_2;1
23219354;veh_62_bus;1695.link:143558785_1;18506.link:144880915_3;3
23219354;veh_62_bus;23968.link:528480961_0;1625.link:441355165_0;1
23219354;veh_62_bus;23968.link:528480961_0;2774.link:143818842_2;1
23219354;veh_62_bus;23968.link:528480961_0;2083.link:192265916_0;1
23219354;veh_62_bus;23968.link:528480961_0;1925.link:143881926_0;1
23219354;veh_62_bus;23968.link:528480961_0;4195.link:365249853_0;1
23219354;veh_62_bus;23968.link:528480961_0;1901.link:144655541_0;1
