TransitRouteId;Departure/vehicleRefId;StopDeparture;StopArrival;Passengers
011c2b62-4295-414e-903e-3a0ee25c3319;pt_49;47c6f913-5bc0-464a-b143-3603894d8acf;12604c9e-1641-441d-86c9-ab4cb957ffcb;2
011c2b62-4295-414e-903e-3a0ee25c3319;pt_49;47c6f913-5bc0-464a-b143-3603894d8acf;37096274-335d-40fb-924e-229d2cedffd2;2
011c2b62-4295-414e-903e-3a0ee25c3319;pt_49;13b130a0-0940-473f-a511-fde471dc76fa;12604c9e-1641-441d-86c9-ab4cb957ffcb;1
011c2b62-4295-414e-903e-3a0ee25c3319;pt_49;13b130a0-0940-473f-a511-fde471dc76fa;37096274-335d-40fb-924e-229d2cedffd2;2
011c2b62-4295-414e-903e-3a0ee25c3319;pt_49;73342d69-e43a-4ef0-b0e8-1c862cfb795c;12604c9e-1641-441d-86c9-ab4cb957ffcb;1
011c2b62-4295-414e-903e-3a0ee25c3319;pt_49;07370c1f-5306-4c73-ba05-e2ae1fe56666;37096274-335d-40fb-924e-229d2cedffd2;2
011c2b62-4295-414e-903e-3a0ee25c3319;pt_49;23873688-3e10-4f35-83fa-e1d82adb3e4f;37096274-335d-40fb-924e-229d2cedffd2;4
011c2b62-4295-414e-903e-3a0ee25c3319;pt_49;03c59ddf-03da-4d14-af0b-65faaa28172a;37096274-335d-40fb-924e-229d2cedffd2;1
011c2b62-4295-414e-903e-3a0ee25c3319;pt_60;32b6a0a0-cea7-4934-9a78-9e4c6c140710;37862d50-49c1-4f1e-b16a-e3cf78c82f5f;1
011c2b62-4295-414e-903e-3a0ee25c3319;pt_60;32b6a0a0-cea7-4934-9a78-9e4c6c140710;38616a13-3b60-4091-84f3-76c9b98823a5;1
011c2b62-4295-414e-903e-3a0ee25c3319;pt_60;2a37304b-81c4-4e41-9a3b-467a1de2dfa6;216b70e3-87b9-4ebf-bf59-94578e83d1aa;1
011c2b62-4295-414e-903e-3a0ee25c3319;pt_60;2a37304b-81c4-4e41-9a3b-467a1de2dfa6;5b8c81ba-7eca-4fbe-843d-29c2a71fd76f;2
011c2b62-4295-414e-903e-3a0ee25c3319;pt_60;2a37304b-81c4-4e41-9a3b-467a1de2dfa6;38616a13-3b60-4091-84f3-76c9b98823a5;1
011c2b62-4295-414e-903e-3a0ee25c3319;pt_60;2a37304b-81c4-4e41-9a3b-467a1de2dfa6;2649d236-0182-4c41-bb53-3e974f6da5a2;2
011c2b62-4295-414e-903e-3a0ee25c3319;pt_60;2a37304b-81c4-4e41-9a3b-467a1de2dfa6;809bf0e1-d129-437a-a75f-33630c21d882;3
011c2b62-4295-414e-903e-3a0ee25c3319;pt_60;2a37304b-81c4-4e41-9a3b-467a1de2dfa6;1eb09fde-676c-4be6-995d-be9bcbb33691;2
011c2b62-4295-414e-903e-3a0ee25c3319;pt_60;2a37304b-81c4-4e41-9a3b-467a1de2dfa6;13b130a0-0940-473f-a511-fde471dc76fa;1
011c2b62-4295-414e-903e-3a0ee25c3319;pt_60;2a37304b-81c4-4e41-9a3b-467a1de2dfa6;1add3680-f681-4a50-a627-a10e47c23664;1
011c2b62-4295-414e-903e-3a0ee25c3319;pt_60;2a37304b-81c4-4e41-9a3b-467a1de2dfa6;094d7190-fa24-4aeb-96af-dc27bfaa1474;1
011c2b62-4295-414e-903e-3a0ee25c3319;pt_60;2a37304b-81c4-4e41-9a3b-467a1de2dfa6;02fbc122-f0d1-4f32-b15c-cd75a479b096;1
011c2b62-4295-414e-903e-3a0ee25c3319;pt_60;2a37304b-81c4-4e41-9a3b-467a1de2dfa6;73342d69-e43a-4ef0-b0e8-1c862cfb795c;1
011c2b62-4295-414e-903e-3a0ee25c3319;pt_60;2a37304b-81c4-4e41-9a3b-467a1de2dfa6;12604c9e-1641-441d-86c9-ab4cb957ffcb;1
011c2b62-4295-414e-903e-3a0ee25c3319;pt_60;2a37304b-81c4-4e41-9a3b-467a1de2dfa6;37096274-335d-40fb-924e-229d2cedffd2;1
011c2b62-4295-414e-903e-3a0ee25c3319;pt_60;216b70e3-87b9-4ebf-bf59-94578e83d1aa;4bfd458c-bbf7-431e-ab97-267e64981ba5;1
