TransitRouteId;Departure/vehicleRefId;StopDeparture;StopArrival;Passengers
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;ecc28bbe-dc60-42a1-8c30-7d2324757ef3;2838fc78-9594-4b6b-86c4-cff56c596866;2
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;ecc28bbe-dc60-42a1-8c30-7d2324757ef3;4489daf8-e647-4631-a2b9-03014b8f2d37;1
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;2838fc78-9594-4b6b-86c4-cff56c596866;a95802e5-2908-4f62-9e52-caeca9ddc5b4;1
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;2838fc78-9594-4b6b-86c4-cff56c596866;2dc119b4-ee2b-4134-b521-97fcb7db2b12;1
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;2838fc78-9594-4b6b-86c4-cff56c596866;25549f6d-f61a-4506-aa8f-9f5c19daede0;2
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;2838fc78-9594-4b6b-86c4-cff56c596866;8943abcb-0649-47c3-9c73-ccc346614ebb;4
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;2838fc78-9594-4b6b-86c4-cff56c596866;4489daf8-e647-4631-a2b9-03014b8f2d37;1
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;2838fc78-9594-4b6b-86c4-cff56c596866;07c93f33-2b4c-4e94-b2d9-8a30553e0bee;1
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;5aa24f61-237e-4ec9-a9b1-b5d7f2dbf1dc;912c0707-ec72-4956-b8a9-ff801f83a87d;1
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;5aa24f61-237e-4ec9-a9b1-b5d7f2dbf1dc;5f9e8b7a-958f-4e45-8c20-4a76b464e58c;2
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;5aa24f61-237e-4ec9-a9b1-b5d7f2dbf1dc;61cf245d-eb36-43f5-8e3f-2c33fcc9a8a2;1
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;565cea36-41e8-4e44-bc7b-356271c35a4c;53461b44-1e97-4109-a5eb-f354ec52e947;1
