,grid_id,geometry
23,23,"POLYGON ((29.27843496311576 59.74595078692484, 29.279032058582224 59.754716445241314, 29.296404592553152 59.754413932360755, 29.295802955278187 59.745648379833895, 29.27843496311576 59.74595078692484))"
24,24,"POLYGON ((29.279032058582224 59.754716445241314, 29.279629520227108 59.76348208814454, 29.297006598784243 59.76317946941908, 29.296404592553152 59.754413932360755, 29.279032058582224 59.754716445241314))"
25,25,"POLYGON ((29.279629520227108 59.76348208814454, 29.280227348366026 59.77224771563348, 29.297608974289446 59.77194499100767, 29.297006598784243 59.76317946941908, 29.279629520227108 59.76348208814454))"
26,26,"POLYGON ((29.280227348366026 59.77224771563348, 29.28082554331493 59.78101332770697, 29.298211719387098 59.78071049712541, 29.297608974289446 59.77194499100767, 29.280227348366026 59.77224771563348))"
27,27,"POLYGON ((29.28082554331493 59.78101332770697, 29.28142410539014 59.7897789243639, 29.298814834395923 59.78947598777112, 29.298211719387098 59.78071049712541, 29.28082554331493 59.78101332770697))"
28,28,"POLYGON ((29.28142410539014 59.7897789243639, 29.282023034908363 59.79854450560321, 29.299418319635006 59.79824146294363, 29.298814834395923 59.78947598777112, 29.28142410539014 59.7897789243639))"
29,29,"POLYGON ((29.282023034908363 59.79854450560321, 29.282622332186655 59.8073100714237, 29.300022175423813 59.807006922641776, 29.299418319635006 59.79824146294363, 29.282023034908363 59.79854450560321))"
30,30,"POLYGON ((29.282622332186655 59.8073100714237, 29.283221997542444 59.81607562182431, 29.30062640208216 59.815772366864394, 29.300022175423813 59.807006922641776, 29.282622332186655 59.8073100714237))"
31,31,"POLYGON ((29.283221997542444 59.81607562182431, 29.283822031293536 59.82484115680392, 29.301230999930247 59.82453779561032, 29.30062640208216 59.815772366864394, 29.283221997542444 59.81607562182431))"
32,32,"POLYGON ((29.283822031293536 59.82484115680392, 29.28442243375809 59.83360667636134, 29.301835969288657 59.83330320887835, 29.301230999930247 59.82453779561032, 29.283822031293536 59.82484115680392))"
33,33,"POLYGON ((29.28442243375809 59.83360667636134, 29.285023205254653 59.84237218049551, 29.30244131047833 59.84206860666733, 29.301835969288657 59.83330320887835, 29.28442243375809 59.83360667636134))"
34,34,"POLYGON ((29.285023205254653 59.84237218049551, 29.285624346102125 59.85113766920525, 29.303047023820582 59.85083398897608, 29.30244131047833 59.84206860666733, 29.285023205254653 59.84237218049551))"
35,35,"POLYGON ((29.285624346102125 59.85113766920525, 29.28622585661979 59.859903142489436, 29.303653109637104 59.85959935580337, 29.303047023820582 59.85083398897608, 29.285624346102125 59.85113766920525))"
36,36,"POLYGON ((29.28622585661979 59.859903142489436, 29.2868277371273 59.868668600346965, 29.304259568249957 59.86836470714809, 29.303653109637104 59.85959935580337, 29.28622585661979 59.859903142489436))"
37,37,"POLYGON ((29.2868277371273 59.868668600346965, 29.287429987944673 59.87743404277665, 29.304866399981595 59.87713004300899, 29.304259568249957 59.86836470714809, 29.2868277371273 59.868668600346965))"
38,38,"POLYGON ((29.287429987944673 59.87743404277665, 29.288032609392307 59.8861994697774, 29.305473605154823 59.88589536338492, 29.304866399981595 59.87713004300899, 29.287429987944673 59.87743404277665))"
39,39,"POLYGON ((29.288032609392307 59.8861994697774, 29.288635601790965 59.894964881348024, 29.30608118409283 59.89466066827466, 29.305473605154823 59.88589536338492, 29.288032609392307 59.8861994697774))"
40,40,"POLYGON ((29.288635601790965 59.894964881348024, 29.289238965461802 59.9037302774874, 29.306689137119193 59.90342595767703, 29.30608118409283 59.89466066827466, 29.288635601790965 59.894964881348024))"
41,41,"POLYGON ((29.289238965461802 59.9037302774874, 29.289842700726318 59.91249565819436, 29.307297464557855 59.91219123159083, 29.306689137119193 59.90342595767703, 29.289238965461802 59.9037302774874))"
42,42,"POLYGON ((29.289842700726318 59.91249565819436, 29.29044680790641 59.921261023467785, 29.30790616673313 59.920956490014845, 29.307297464557855 59.91219123159083, 29.289842700726318 59.91249565819436))"
43,43,"POLYGON ((29.29044680790641 59.921261023467785, 29.291051287324343 59.930026373306475, 29.308515243969723 59.92972173294786, 29.30790616673313 59.920956490014845, 29.29044680790641 59.921261023467785))"
44,44,"POLYGON ((29.291051287324343 59.930026373306475, 29.291656139302756 59.938791707709306, 29.309124696592715 59.938486960388694, 29.308515243969723 59.92972173294786, 29.291051287324343 59.930026373306475))"
45,45,"POLYGON ((29.291656139302756 59.938791707709306, 29.292261364164677 59.947557026675106, 29.30973452492756 59.94725217233614, 29.309124696592715 59.938486960388694, 29.291656139302756 59.938791707709306))"
46,46,"POLYGON ((29.292261364164677 59.947557026675106, 29.292866962233482 59.956322330202674, 29.310344729300102 59.95601736878894, 29.30973452492756 59.94725217233614, 29.292261364164677 59.947557026675106))"
47,47,"POLYGON ((29.292866962233482 59.956322330202674, 29.293472933832962 59.96508761829094, 29.310955310036558 59.96478254974594, 29.310344729300102 59.95601736878894, 29.292866962233482 59.956322330202674))"
48,48,"POLYGON ((29.293472933832962 59.96508761829094, 29.294079279287256 59.973852890938645, 29.311566267463515 59.97354771520586, 29.310955310036558 59.96478254974594, 29.293472933832962 59.96508761829094))"
49,49,"POLYGON ((29.294079279287256 59.973852890938645, 29.29468599892089 59.982618148144645, 29.31217760190797 59.98231286516753, 29.311566267463515 59.97354771520586, 29.294079279287256 59.973852890938645))"
50,50,"POLYGON ((29.29468599892089 59.982618148144645, 29.295293093058778 59.991383389907796, 29.312789313697262 59.9910779996297, 29.31217760190797 59.98231286516753, 29.29468599892089 59.982618148144645))"
51,51,"POLYGON ((29.295293093058778 59.991383389907796, 29.295900562026205 60.000148616226866, 29.313401403159155 59.99984311859115, 29.312789313697262 59.9910779996297, 29.295293093058778 59.991383389907796))"
52,52,"POLYGON ((29.295900562026205 60.000148616226866, 29.296508406148835 60.00891382710071, 29.314013870621775 60.00860822205064, 29.313401403159155 59.99984311859115, 29.295900562026205 60.000148616226866))"
53,53,"POLYGON ((29.296508406148835 60.00891382710071, 29.29711662575272 60.017679022528135, 29.314626716413624 60.017373310006974, 29.314013870621775 60.00860822205064, 29.296508406148835 60.00891382710071))"
54,54,"POLYGON ((29.29711662575272 60.017679022528135, 29.29772522116429 60.02644420250795, 29.3152399408636 60.02613838245887, 29.314626716413624 60.017373310006974, 29.29711662575272 60.017679022528135))"
55,55,"POLYGON ((29.29772522116429 60.02644420250795, 29.298334192710342 60.035209367038995, 29.31585354430098 60.03490343940507, 29.3152399408636 60.02613838245887, 29.29772522116429 60.02644420250795))"
56,56,"POLYGON ((29.298334192710342 60.035209367038995, 29.29894354071808 60.04397451612008, 29.316467527055437 60.04366848084443, 29.31585354430098 60.03490343940507, 29.298334192710342 60.035209367038995))"
57,57,"POLYGON ((29.29894354071808 60.04397451612008, 29.299553265515087 60.05273964974995, 29.317081889457008 60.05243350677561, 29.316467527055437 60.04366848084443, 29.29894354071808 60.04397451612008))"
58,58,"POLYGON ((29.299553265515087 60.05273964974995, 29.30016336742931 60.061504767927495, 29.317696631836146 60.06119851719743, 29.317081889457008 60.05243350677561, 29.299553265515087 60.05273964974995))"
59,59,"POLYGON ((29.30016336742931 60.061504767927495, 29.3007738467891 60.07026987065145, 29.31831175452366 60.069963512108586, 29.317696631836146 60.06119851719743, 29.30016336742931 60.061504767927495))"
60,60,"POLYGON ((29.3007738467891 60.07026987065145, 29.30138470392318 60.07903495792064, 29.31892725785077 60.07872849150788, 29.31831175452366 60.069963512108586, 29.3007738467891 60.07026987065145))"
61,61,"POLYGON ((29.30138470392318 60.07903495792064, 29.30199593916066 60.087800029733856, 29.319543142149072 60.08749345539401, 29.31892725785077 60.07872849150788, 29.30138470392318 60.07903495792064))"
62,62,"POLYGON ((29.30199593916066 60.087800029733856, 29.302607552831045 60.09656508608989, 29.32015940775056 60.096258403765745, 29.319543142149072 60.08749345539401, 29.30199593916066 60.087800029733856))"
63,63,"POLYGON ((29.302607552831045 60.09656508608989, 29.30321954526422 60.105330126987525, 29.320776054987604 60.10502333662179, 29.32015940775056 60.096258403765745, 29.302607552831045 60.09656508608989))"
64,64,"POLYGON ((29.30321954526422 60.105330126987525, 29.303831916790458 60.11409515242558, 29.321393084192966 60.11378825396095, 29.320776054987604 60.10502333662179, 29.30321954526422 60.105330126987525))"
65,65,"POLYGON ((29.303831916790458 60.11409515242558, 29.30444466774042 60.122860162402795, 29.32201049569982 60.12255315578188, 29.321393084192966 60.11378825396095, 29.303831916790458 60.11409515242558))"
66,66,"POLYGON ((29.30444466774042 60.122860162402795, 29.30505779844514 60.13162515691797, 29.322628289841695 60.131318042083365, 29.32201049569982 60.12255315578188, 29.30444466774042 60.122860162402795))"
67,67,"POLYGON ((29.30505779844514 60.13162515691797, 29.30567130923607 60.14039013596992, 29.32324646695255 60.14008291286412, 29.322628289841695 60.131318042083365, 29.30505779844514 60.13162515691797))"
68,68,"POLYGON ((29.30567130923607 60.14039013596992, 29.306285200445025 60.14915509955735, 29.3238650273667 60.148847768122856, 29.32324646695255 60.14008291286412, 29.30567130923607 60.14039013596992))"
69,69,"POLYGON ((29.306285200445025 60.14915509955735, 29.306899472404222 60.15792004767909, 29.32448397141887 60.157612607858304, 29.3238650273667 60.148847768122856, 29.306285200445025 60.14915509955735))"
70,70,"POLYGON ((29.306899472404222 60.15792004767909, 29.307514125446275 60.16668498033388, 29.325103299444187 60.16637743206919, 29.32448397141887 60.157612607858304, 29.306899472404222 60.15792004767909))"
71,71,"POLYGON ((29.307514125446275 60.16668498033388, 29.308129159904166 60.175449897520515, 29.325723011778166 60.17514224075423, 29.325103299444187 60.16637743206919, 29.307514125446275 60.16668498033388))"
72,72,"POLYGON ((29.308129159904166 60.175449897520515, 29.30874457611129 60.18421479923775, 29.326343108756696 60.18390703391214, 29.325723011778166 60.17514224075423, 29.308129159904166 60.175449897520515))"
73,73,"POLYGON ((29.30874457611129 60.18421479923775, 29.30936037440142 60.19297968548431, 29.326963590716083 60.19267181154158, 29.326343108756696 60.18390703391214, 29.30874457611129 60.18421479923775))"
74,74,"POLYGON ((29.30936037440142 60.19297968548431, 29.309976555108737 60.201744556259, 29.327584457993026 60.20143657364133, 29.326963590716083 60.19267181154158, 29.30936037440142 60.19297968548431))"
75,75,"POLYGON ((29.309976555108737 60.201744556259, 29.310593118567795 60.210509411560565, 29.32820571092462 60.210201320210054, 29.327584457993026 60.20143657364133, 29.309976555108737 60.201744556259))"
76,76,"POLYGON ((29.310593118567795 60.210509411560565, 29.311210065113567 60.219274251387745, 29.328827349848343 60.218966051246476, 29.32820571092462 60.210201320210054, 29.310593118567795 60.210509411560565))"
77,77,"POLYGON ((29.311210065113567 60.219274251387745, 29.31182739508139 60.2280390757393, 29.329449375102094 60.227730766749254, 29.328827349848343 60.218966051246476, 29.311210065113567 60.219274251387745))"
78,78,"POLYGON ((29.31182739508139 60.2280390757393, 29.31244510880702 60.236803884613984, 29.33007178702415 60.23649546671715, 29.329449375102094 60.227730766749254, 29.31182739508139 60.2280390757393))"
79,79,"POLYGON ((29.31244510880702 60.236803884613984, 29.3130632066266 60.24556867801052, 29.330694585953193 60.245260151148806, 29.33007178702415 60.23649546671715, 29.31244510880702 60.236803884613984))"
80,80,"POLYGON ((29.3130632066266 60.24556867801052, 29.313681688876667 60.254333455927664, 29.3313177722283 60.25402482004292, 29.330694585953193 60.245260151148806, 29.3130632066266 60.24556867801052))"
81,81,"POLYGON ((29.313681688876667 60.254333455927664, 29.314300555894157 60.26309821836416, 29.331941346188955 60.26278947339818, 29.3313177722283 60.25402482004292, 29.313681688876667 60.254333455927664))"
82,82,"POLYGON ((29.314300555894157 60.26309821836416, 29.3149198080164 60.27186296531875, 29.332565308175045 60.27155411121329, 29.331941346188955 60.26278947339818, 29.314300555894157 60.26309821836416))"
83,83,"POLYGON ((29.3149198080164 60.27186296531875, 29.315539445581134 60.28062769679015, 29.33318965852684 60.280318733486915, 29.332565308175045 60.27155411121329, 29.3149198080164 60.27186296531875))"
84,84,"POLYGON ((29.315539445581134 60.28062769679015, 29.316159468926482 60.28939241277708, 29.333814397585034 60.28908334021773, 29.33318965852684 60.280318733486915, 29.315539445581134 60.28062769679015))"
85,85,"POLYGON ((29.316159468926482 60.28939241277708, 29.316779878390975 60.2981571132783, 29.334439525690705 60.29784793140442, 29.333814397585034 60.28908334021773, 29.316159468926482 60.28939241277708))"
86,86,"POLYGON ((29.316779878390975 60.2981571132783, 29.317400674313532 60.306921798292514, 29.335065043185338 60.30661250704564, 29.334439525690705 60.29784793140442, 29.316779878390975 60.2981571132783))"
87,87,"POLYGON ((29.282066403964684 59.54403640501665, 29.282659642170533 59.55280231300697, 29.29992805076841 59.55249994264881, 29.299330334298528 59.543734139979655, 29.282066403964684 59.54403640501665))"
88,88,"POLYGON ((29.282659642170533 59.55280231300697, 29.28325324211957 59.56156820555464, 29.300526131704736 59.56126572982065, 29.29992805076841 59.55249994264881, 29.282659642170533 59.55280231300697))"
89,89,"POLYGON ((29.28325324211957 59.56156820555464, 29.28384720412144 59.57033408265854, 29.30112457741946 59.57003150149403, 29.300526131704736 59.56126572982065, 29.28325324211957 59.56156820555464))"
90,90,"POLYGON ((29.28384720412144 59.57033408265854, 29.284441528486145 59.5790999443176, 29.301723388224918 59.578797257667816, 29.30112457741946 59.57003150149403, 29.28384720412144 59.57033408265854))"
91,91,"POLYGON ((29.284441528486145 59.5790999443176, 29.285036215524034 59.58786579053066, 29.302322564433776 59.58756299834082, 29.301723388224918 59.578797257667816, 29.284441528486145 59.5790999443176))"
92,92,"POLYGON ((29.285036215524034 59.58786579053066, 29.285631265545828 59.59663162129667, 29.30292210635909 59.59632872351194, 29.302322564433776 59.58756299834082, 29.285036215524034 59.58786579053066))"
93,93,"POLYGON ((29.285631265545828 59.59663162129667, 29.286226678862583 59.60539743661449, 29.30352201431425 59.60509443317997, 29.30292210635909 59.59632872351194, 29.285631265545828 59.59663162129667))"
94,94,"POLYGON ((29.286226678862583 59.60539743661449, 29.286822455785746 59.61416323648302, 29.304122288613033 59.61386012734379, 29.30352201431425 59.60509443317997, 29.286226678862583 59.60539743661449))"
95,95,"POLYGON ((29.286822455785746 59.61416323648302, 29.287418596627102 59.62292902090119, 29.30472292956957 59.62262580600224, 29.304122288613033 59.61386012734379, 29.286822455785746 59.61416323648302))"
96,96,"POLYGON ((29.287418596627102 59.62292902090119, 29.288015101698793 59.6316947898678, 29.30532393749834 59.631391469154124, 29.30472292956957 59.62262580600224, 29.287418596627102 59.62292902090119))"
97,97,"POLYGON ((29.288015101698793 59.6316947898678, 29.28861197131334 59.64046054338179, 29.3059253127142 59.64015711679829, 29.30532393749834 59.631391469154124, 29.288015101698793 59.6316947898678))"
98,98,"POLYGON ((29.28861197131334 59.64046054338179, 29.289209205783603 59.64922628144201, 29.306527055532374 59.6489227489336, 29.3059253127142 59.64015711679829, 29.28861197131334 59.64046054338179))"
99,99,"POLYGON ((29.289209205783603 59.64922628144201, 29.289806805422828 59.65799200404739, 29.30712916626843 59.65768836555883, 29.306527055532374 59.6489227489336, 29.289209205783603 59.64922628144201))"
