,grid_id_origin,time_origin,grid_id_dest,time_dest,trips_cnt
442,2510,23:00:00,5562,00:00:00,1
443,2519,00:00:00,5871,02:00:00,1
444,2559,04:00:00,1676,04:00:00,1
445,2559,04:00:00,2391,04:00:00,1
446,2559,05:00:00,1953,05:00:00,1
447,2559,05:00:00,2391,05:00:00,1
448,2560,01:00:00,5872,03:00:00,1
449,2561,00:00:00,2142,01:00:00,1
450,2561,00:00:00,2391,00:00:00,1
451,2561,00:00:00,4561,01:00:00,1
452,2561,01:00:00,3083,02:00:00,1
453,2561,04:00:00,5253,04:00:00,1
454,2561,04:00:00,5273,06:00:00,1
455,2561,22:00:00,2391,22:00:00,1
456,2561,22:00:00,2997,22:00:00,1
457,2561,23:00:00,2029,00:00:00,1
458,2561,23:00:00,3084,23:00:00,1
459,2563,01:00:00,3602,01:00:00,1
460,2563,23:00:00,5353,00:00:00,1
461,2564,00:00:00,3083,01:00:00,1
462,2564,01:00:00,3169,01:00:00,1
463,2564,01:00:00,3864,01:00:00,1
464,2564,22:00:00,3512,23:00:00,1
465,2565,01:00:00,3171,01:00:00,1
466,2578,22:00:00,5629,23:00:00,1
467,2595,00:00:00,3202,00:00:00,1
468,2595,00:00:00,4926,00:00:00,1
469,2595,00:00:00,5268,01:00:00,1
470,2595,02:00:00,4668,02:00:00,1
471,2595,02:00:00,6133,03:00:00,1
472,2595,04:00:00,3371,05:00:00,1
473,2595,22:00:00,4571,23:00:00,1
474,2595,22:00:00,5263,23:00:00,1
475,2595,23:00:00,2943,23:00:00,1
476,2595,23:00:00,3197,23:00:00,1
477,2595,23:00:00,3282,23:00:00,1
478,2595,23:00:00,4580,23:00:00,1
479,2595,23:00:00,4996,00:00:00,1
480,2595,23:00:00,5961,00:00:00,1
481,2596,01:00:00,5876,03:00:00,1
482,2596,04:00:00,947,05:00:00,1
483,2597,22:00:00,2773,22:00:00,1
484,2599,02:00:00,5015,03:00:00,1
485,2605,22:00:00,3115,23:00:00,1
486,2605,23:00:00,3115,23:00:00,1
487,2607,01:00:00,4571,02:00:00,1
488,2630,22:00:00,4026,22:00:00,1
489,2630,22:00:00,5342,23:00:00,1
490,2647,00:00:00,2818,01:00:00,1
491,2648,00:00:00,2731,00:00:00,1
492,2648,01:00:00,2997,01:00:00,1
493,2648,02:00:00,4559,02:00:00,1
494,2648,04:00:00,2391,04:00:00,1
495,2648,22:00:00,2390,22:00:00,1
496,2648,22:00:00,2391,23:00:00,1
497,2648,22:00:00,3256,22:00:00,1
498,2648,23:00:00,2390,23:00:00,1
499,2648,23:00:00,2392,23:00:00,1
500,2648,23:00:00,2818,23:00:00,1
501,2648,23:00:00,3084,23:00:00,1
502,2648,23:00:00,3171,23:00:00,1
503,2649,00:00:00,5353,00:00:00,1
504,2649,01:00:00,3946,01:00:00,1
505,2681,00:00:00,1736,00:00:00,1
506,2681,00:00:00,6048,02:00:00,1
507,2681,23:00:00,4751,23:00:00,1
508,2681,23:00:00,5191,00:00:00,1
509,2683,05:00:00,5269,06:00:00,1
510,2683,22:00:00,1989,22:00:00,1
511,2683,22:00:00,3282,23:00:00,1
512,2687,00:00:00,3374,00:00:00,1
513,2687,23:00:00,3283,23:00:00,1
514,2688,01:00:00,2856,01:00:00,1
515,2688,03:00:00,2769,03:00:00,2
516,2689,01:00:00,5254,02:00:00,1
517,2689,22:00:00,4474,00:00:00,1
518,2689,23:00:00,3195,00:00:00,1
519,2693,00:00:00,5781,01:00:00,1
520,2693,01:00:00,2856,01:00:00,1
521,2693,01:00:00,5519,02:00:00,1
522,2693,02:00:00,3281,02:00:00,1
523,2693,03:00:00,4663,03:00:00,1
524,2693,04:00:00,3816,04:00:00,1
525,2693,23:00:00,3286,23:00:00,1
526,2693,23:00:00,5713,23:00:00,1
527,2694,02:00:00,4921,03:00:00,1
528,2708,03:00:00,3948,03:00:00,1
529,2717,01:00:00,5093,02:00:00,1
530,2717,22:00:00,1845,22:00:00,1
531,2718,23:00:00,2472,00:00:00,1
532,2721,23:00:00,3415,23:00:00,1
533,2729,23:00:00,5085,23:00:00,1
534,2730,23:00:00,4471,00:00:00,1
535,2730,23:00:00,5171,23:00:00,1
536,2731,02:00:00,4647,02:00:00,1
537,2733,01:00:00,4922,03:00:00,1
538,2735,00:00:00,3449,00:00:00,1
539,2735,00:00:00,4472,00:00:00,1
540,2735,00:00:00,5092,01:00:00,1
541,2735,01:00:00,4118,01:00:00,1
542,2735,22:00:00,4490,23:00:00,1
543,2735,22:00:00,4929,23:00:00,1
544,2735,22:00:00,6313,23:00:00,1
545,2735,23:00:00,5345,00:00:00,1
546,2736,00:00:00,3431,00:00:00,1
547,2736,01:00:00,2824,02:00:00,1
548,2736,02:00:00,5429,02:00:00,1
549,2736,03:00:00,5697,04:00:00,1
550,2736,22:00:00,5353,23:00:00,1
551,2737,22:00:00,2822,22:00:00,1
552,2768,00:00:00,1989,00:00:00,1
553,2768,00:00:00,3370,00:00:00,1
554,2768,00:00:00,3371,00:00:00,1
555,2768,01:00:00,3200,01:00:00,1
556,2768,01:00:00,3281,01:00:00,1
557,2768,01:00:00,5790,02:00:00,1
558,2768,02:00:00,4927,03:00:00,1
559,2768,02:00:00,5962,03:00:00,1
560,2768,03:00:00,1989,03:00:00,1
561,2768,22:00:00,3282,23:00:00,1
562,2768,22:00:00,5095,23:00:00,1
563,2768,23:00:00,1387,23:00:00,1
564,2768,23:00:00,3195,23:00:00,1
565,2769,00:00:00,1988,01:00:00,1
566,2769,00:00:00,3281,01:00:00,1
567,2769,00:00:00,5603,02:00:00,1
568,2769,01:00:00,3283,01:00:00,1
569,2769,01:00:00,5279,02:00:00,1
570,2769,01:00:00,5876,02:00:00,1
571,2769,22:00:00,1989,22:00:00,1
572,2769,22:00:00,4235,23:00:00,1
573,2769,22:00:00,5011,23:00:00,1
574,2769,22:00:00,5085,23:00:00,1
575,2769,23:00:00,3195,00:00:00,1
576,2769,23:00:00,3284,23:00:00,1
577,2769,23:00:00,4667,23:00:00,1
578,2769,23:00:00,4922,23:00:00,1
579,2770,22:00:00,4990,23:00:00,1
580,2773,00:00:00,5196,01:00:00,1
581,2774,04:00:00,3282,04:00:00,1
582,2778,02:00:00,4846,03:00:00,1
583,2798,00:00:00,4559,01:00:00,1
584,2800,00:00:00,4380,01:00:00,1
585,2802,00:00:00,4233,01:00:00,1
586,2802,22:00:00,5092,00:00:00,1
587,2803,00:00:00,4903,01:00:00,1
588,2803,00:00:00,5342,00:00:00,1
589,2803,01:00:00,3425,01:00:00,1
590,2803,01:00:00,4571,02:00:00,1
591,2803,02:00:00,4024,02:00:00,1
592,2803,05:00:00,4111,06:00:00,1
593,2803,23:00:00,5517,23:00:00,1
594,2805,03:00:00,1845,04:00:00,1
595,2805,06:00:00,1845,06:00:00,1
596,2806,23:00:00,5266,00:00:00,1
597,2807,22:00:00,5009,23:00:00,1
598,2809,22:00:00,5353,23:00:00,1
599,2818,05:00:00,5249,06:00:00,1
600,2822,00:00:00,2390,01:00:00,1
601,2822,00:00:00,2391,00:00:00,2
602,2822,00:00:00,3170,00:00:00,1
603,2822,00:00:00,3431,01:00:00,1
604,2822,00:00:00,4903,00:00:00,1
605,2822,00:00:00,4907,01:00:00,1
606,2822,00:00:00,5957,01:00:00,1
607,2822,00:00:00,6133,01:00:00,1
608,2822,01:00:00,1351,01:00:00,1
609,2822,01:00:00,2119,01:00:00,1
610,2822,01:00:00,3777,01:00:00,1
611,2822,01:00:00,4990,01:00:00,1
612,2822,02:00:00,2390,02:00:00,1
613,2822,03:00:00,4821,03:00:00,1
614,2822,03:00:00,4990,04:00:00,1
615,2822,03:00:00,5536,05:00:00,1
616,2822,03:00:00,5862,04:00:00,1
617,2822,04:00:00,2391,05:00:00,1
618,2822,04:00:00,3083,04:00:00,1
619,2822,04:00:00,3604,04:00:00,1
620,2822,04:00:00,4212,04:00:00,1
621,2822,05:00:00,2392,05:00:00,1
622,2822,22:00:00,1676,23:00:00,1
623,2822,22:00:00,3342,22:00:00,1
624,2822,22:00:00,4990,23:00:00,2
625,2822,22:00:00,5089,23:00:00,1
626,2822,22:00:00,5347,00:00:00,1
627,2822,23:00:00,2478,23:00:00,1
628,2822,23:00:00,3083,23:00:00,1
629,2822,23:00:00,3256,23:00:00,1
630,2822,23:00:00,4384,00:00:00,1
631,2822,23:00:00,4990,23:00:00,1
632,2822,23:00:00,5280,01:00:00,1
